"","Subject","trial","Value","Behaviour","sum_duration","X","birth_date","subject","sex","age_years","test.date","age","first_demo","first_condition","first_exp_id","second_demo","second_condition","second_exp_id","unable_experimenter","unwilling_experimenter","condition","block"
"119","Adderley",6,"12",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"120","Adderley",6,"13",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"121","Adderley",6,"14",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"122","Adderley",6,"15",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"123","Adderley",6,"16",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"124","Adderley",6,"2",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"125","Adderley",6,"3",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"126","Adderley",6,"4",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"127","Adderley",6,"5",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"128","Adderley",6,"6","trial",32.1166467,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"129","Adderley",6,"7",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"130","Adderley",6,"8",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"131","Adderley",6,"9",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"132","Adderley",6,"front_down",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"133","Adderley",6,"lateral_approach",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"134","Adderley",6,"rest",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"135","Adderley",6,"pawing",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"136","Adderley",6,"unable",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"137","Adderley",6,"unwilling",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"138","Adderley",6,"walk_away",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"139","Adderley",7,"1",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"140","Adderley",7,"10",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"141","Adderley",7,"11",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"142","Adderley",7,"12",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"143","Adderley",7,"13",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"144","Adderley",7,"14",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"145","Adderley",7,"15",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"146","Adderley",7,"16",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
